CIDR,ASN
98.97.64.0/21,14593
98.97.72.0/24,14593
98.97.73.0/24,14593
98.97.74.0/24,14593
98.97.75.0/24,14593
98.97.76.0/24,14593
98.97.77.0/24,14593
98.97.78.0/23,14593
98.97.8.0/21,14593
98.97.80.0/21,14593
98.97.88.0/21,14593
98.97.96.0/21,14593
2406:2d40:2000::/38,14593
2406:2d40:3000::/38,14593
2406:2d40:3400::/38,14593
2406:2d40:4000::/38,14593
2406:2d40:4400::/38,14593
2406:2d40:4c00::/38,14593
2406:2d40:5000::/38,14593
2406:2d40:5400::/38,14593
2406:2d40:6000::/38,14593
2406:2d40:7000::/38,14593
2406:2d40:7400::/38,14593
2406:2d40:8000::/38,14593
2406:2d40:8400::/38,14593
2406:2d40:9000::/38,14593
2406:2d40:9400::/38,14593
2406:2d40:c000::/38,14593
2605:59c0:1000::/38,14593
2605:59c0:1400::/38,14593
2605:59c0:2000::/38,14593
2605:59c0:3000::/38,14593
2605:59c0:4000::/38,14593
2605:59c0:400::/38,14593
2605:59c0:5005::/48,14593
2605:59c0:5006::/48,14593
2605:59c0:5007::/48,14593
2605:59c0:500a::/48,14593
2605:59c0:500c::/48,14593
2605:59c0:500d::/48,14593
2605:59c0:5013::/48,14593
2605:59c0:5014::/48,14593
2605:59c0:5015::/48,14593
2605:59c0:5016::/48,14593
2605:59c0:5017::/48,14593
2605:59c0:5019::/48,14593
2605:59c0:501a::/48,14593
2605:59c0:501b::/48,14593
2605:59c0:501f::/48,14593
2605:59c0:5023::/48,14593
2605:59c0:5026::/48,14593
2605:59c0:5027::/48,14593
2605:59c0:5028::/48,14593
2605:59c0:5029::/48,14593
2605:59c0:502a::/48,14593
2605:59c0::/38,14593
2605:59c7:2001::/48,14593
2605:59c7:9000::/48,14593
2605:59c7:9006::/48,14593
2605:59c7:900a::/48,14593
2605:59c7:f000::/42,14593
2605:59c7:f000::/47,14593
2605:59c7:f001::/48,14593
2605:59c7:f002::/48,14593
2605:59c7:f003::/48,14593
2605:59c7:f004::/48,14593
2605:59c7:f006::/48,14593
2605:59c7:f007::/48,14593
2605:59c8:1000::/38,14593
2605:59c8:1400::/38,14593
2605:59c8:1800::/38,14593
2605:59c8:2000::/38,14593
2605:59c8:2400::/38,14593
2605:59c8:2800::/38,14593
2605:59c8:2c00::/38,14593
2605:59c8:3000::/38,14593
2605:59c8:3400::/38,14593
2605:59c8:4000::/38,14593
2605:59c8:400::/38,14593
2605:59c8:4400::/38,14593
2605:59c8:5000::/38,14593
2605:59c8:6000::/38,14593
2605:59c8:6400::/38,14593
2605:59c8:6800::/38,14593
2605:59c8:7000::/38,14593
2605:59c8:7400::/38,14593
2605:59c8:8000::/40,14593
2605:59c8:800::/38,14593
2605:59c8::/38,14593
2605:59c9:1000::/38,14593
2605:59c9:400::/38,14593
2605:59c9::/36,14593
2605:59c9::/38,14593
2605:59ca:1000::/38,14593
2605:59ca:1400::/38,14593
2605:59ca::/36,14593
2605:59ca::/38,14593
2620:134:b0ff::/48,14593
2803:9810:2000::/48,14593
2803:9810:3000::/38,14593
2803:9810:4000::/38,14593
2803:9810:4400::/38,14593
2803:9810:4800::/38,14593
2803:9810:5000::/38,14593
2803:9810:5400::/38,14593
2803:9810:6000::/38,14593
2803:9810:7000::/38,14593
2803:9810:8000::/38,14593
2803:9810:8400::/38,14593
2803:9810:9000::/38,14593
2803:9810:a000::/38,14593
2803:9810:a400::/38,14593
2803:9810:b000::/38,14593
2803:9810:b400::/38,14593
2a0d:3340:f000::/38,14593
2a0d:3340:f400::/38,14593
2a0d:3341:b000::/38,14593
2a0d:3341:c000::/38,14593
2a0d:3341:c400::/38,14593
2a0d:3341:c800::/38,14593
2a0d:3344:1000::/38,14593
2a0d:3344:1400::/38,14593
2a0d:3344:1800::/38,14593
2a0d:3344:1c00::/38,14593
2a0d:3344:2000::/38,14593
2a0d:3344:2400::/38,14593
2a0d:3344:3000::/38,14593
2a0d:3344:3400::/38,14593
2a0d:3344:3800::/38,14593
2a0d:3344:400::/38,14593
2a0d:3344:800::/38,14593
2a0d:3344::/38,14593
2a0d:3344:c00::/38,14593
2c0f:2a80:1000::/38,14593
2c0f:2a80:1400::/38,14593
2c0f:2a80:2000::/38,14593
2c0f:2a80:2400::/38,14593
2c0f:2a80:400::/38,14593
