cidr,country,region,city,pop,code,dns_ptr,pop_dns_ptr_match
14.1.95.0/24,AU,AU-VIC,Melbourne,mlbeaus1,mel,customer.mlbeaus1.pop.starlinkisp.net.,True
65.181.0.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.brseaus1.pop.starlinkisp.net.,True
65.181.1.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.brseaus1.pop.starlinkisp.net.,True
65.181.2.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.brseaus1.pop.starlinkisp.net.,True
65.181.3.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.brseaus1.pop.starlinkisp.net.,True
65.181.4.0/24,JP,JP-13,Tokyo,tkyojpn1,nrt,customer.tkyojpn1.pop.starlinkisp.net.,True
65.181.5.0/24,JP,JP-13,Tokyo,tkyojpn1,nrt,customer.tkyojpn1.pop.starlinkisp.net.,True
65.181.6.0/24,JP,JP-13,Tokyo,tkyojpn1,nrt,customer.tkyojpn1.pop.starlinkisp.net.,True
65.181.7.0/24,JP,JP-13,Tokyo,tkyojpn1,nrt,customer.tkyojpn1.pop.starlinkisp.net.,True
65.181.10.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.sydyaus1.pop.starlinkisp.net.,False
65.181.11.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.jtnaidn1.pop.starlinkisp.net.,False
65.181.12.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
65.181.13.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
65.181.14.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
65.181.15.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
65.181.16.0/24,MY,MY-14,Kuala Lumpur,sngesgp1,sin,customer.sngesgp1.pop.starlinkisp.net.,True
65.181.17.0/24,MY,MY-14,Kuala Lumpur,sngesgp1,sin,customer.sngesgp1.pop.starlinkisp.net.,True
65.181.18.0/24,MY,MY-14,Kuala Lumpur,sngesgp1,sin,customer.sngesgp1.pop.starlinkisp.net.,True
65.181.19.0/24,MY,MY-14,Kuala Lumpur,sngesgp1,sin,customer.sngesgp1.pop.starlinkisp.net.,True
65.181.20.0/24,AU,AU-WA,Perth,prthaus1,per,customer.prthaus1.pop.starlinkisp.net.,True
65.181.21.0/24,AU,AU-WA,Perth,prthaus1,per,customer.prthaus1.pop.starlinkisp.net.,True
65.181.22.0/24,AU,AU-WA,Perth,prthaus1,per,customer.prthaus1.pop.starlinkisp.net.,True
65.181.23.0/24,AU,AU-WA,Perth,prthaus1,per,customer.prthaus1.pop.starlinkisp.net.,True
65.181.24.0/24,MY,MY-14,Kuala Lumpur,mnlaphl1,mnl,customer.mnlaphl1.pop.starlinkisp.net.,True
65.181.25.0/24,MY,MY-14,Kuala Lumpur,mnlaphl1,mnl,customer.mnlaphl1.pop.starlinkisp.net.,True
65.181.26.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.sngesgp1.pop.starlinkisp.net.,False
65.181.27.0/24,AU,AU-QLD,Brisbane,brseaus1,bne,customer.chrhnzl1.pop.starlinkisp.net.,False
66.9.162.0/24,MX,MX-CMX,Mexico City,qrtomex1,qro,customer.qrtomex1.pop.starlinkisp.net.,True
